,RecipeId,Name,AuthorId,AuthorName,CookTime,PrepTime,TotalTime,DatePublished,Description,Images,RecipeCategory,Keywords,RecipeIngredientQuantities,RecipeIngredientParts,AggregatedRating,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions
62,104,Cheeseburger Casserole,1535,Marg CaymanDesigns,PT25M,PT15M,PT40M,1999-08-19T05:30:00Z,This is popular with the kids especially. My hubby and I find it a bit 'boring' but think adding mustard to it at the table helps give it a little zip.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/4/picP5Bk3R.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/4/pic7l8Eud.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/4/picacxtDK.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/4/picdIpfbV.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/4/pic8kCDB4.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/4/picqFCjkj.jpg"")",Cheese,"c(""Meat"", ""< 60 Mins"", ""Oven"")","c(""1 1/2"", ""1 -2"", ""1/4"", ""1"", ""1/2"", ""1"", ""1/8"", ""1"", ""1"")","c(""flour"", ""ground beef"", ""onion"", ""tomato sauce"", ""ketchup"", ""salt"", ""pepper"", ""cheddar cheese"")",4.5,14.0,543.5,29.2,11.3,71.9,1795.1,44.8,1.5,12.6,25.5,6.0,,"c(""Combine ground beef and flour in skillet. Add onion and brown."", ""Pour off drippings."", ""Add tomato sauce, ketchup, salt and pepper."", ""Pour into 1 1/2-quart casserole dish."", ""Bake for 10 minutes at 425°F."", ""Top with cheese and biscuits."", ""Bake for 10-15 minutes longer."")"
64,106,Cajun Beef Burgers,1533,Dancer,PT50M,PT40M,PT1H30M,1999-08-13T13:44:00Z,Make and share this Cajun Beef Burgers recipe from Food.com.,character(0),Meat,"c(""Cajun"", ""Weeknight"", ""< 4 Hours"")","c(""1"", ""1/4"", ""1/8"", ""1"", ""4"", ""2 -4"", ""2"", ""1"", ""1/2"", ""1"", ""1/2"")","c(""beef"", ""black pepper"", ""fresh parsley"", ""Spanish onion"", ""salt"", ""cajun-style stewed tomatoes"", ""dried thyme leaves"")",,,1012.8,88.5,34.8,112.4,1000.0,38.5,3.4,4.3,15.9,4.0,,"c(""To make sauce: In large saucepan, heat oil over medium heat until hot. Add onion and salt; cook and stir over low heat 10 minutes."", ""Add tomatoes and thyme; bring  to a broil."", ""Reduce heat; simmer 8 to 10 minutes or until sauce thickens  slightly."", ""Meanwhile shape ground beef into four 1/2-inch thick patties."", ""Sprinkle both sides of patties with black pepper and red pepper; brush lightly with 1  teaspoon oil."", ""Heat large heavy nonstick skillet over medium heat 5 minutes."", ""Place patties in skillet; panbroil 10 to 12 minutes or until centers are no  longer pink, turning once. Spoon approx."", 
""1/2 of sauce onto bottom halves or  rolls; top with patties."", ""Spoon remaining sauce over patties; sprinkle with  parsley."", ""Close with roll tops."", ""Serve immediately."", ""Makes 4 servings (serving size: 1 sandwich). Tip: Mexican-style stewed tomatoes may be substituted for Cajun-style. To grill, place patties on grid over medium, ash-covered coals."", ""Grill uncovered, 11 to 13 minutes or until centers are no longer pink, turning once."")"
66,109,Butterflied Lamb with Garlic Butter,1543,Doreen Randal,PT4H15M,PT45M,PT5H,1999-09-13T03:18:00Z,Make and share this Butterflied Lamb with Garlic Butter recipe from Food.com.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/9/picnSlN8g.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/9/picHIRziT.jpg"")",Lamb/Sheep,"c(""Meat"", ""High Protein"", ""High In..."", ""Weeknight"", ""Oven"")","c(""2"", ""1/4"", ""1"", ""1"", ""4"", ""1"", ""90"", ""1/4"", ""1"", ""250"", ""2"")","c(""lamb"", ""parsley"", ""fresh thyme"", ""lemon, rind of"", ""garlic"", ""cracked black pepper"", ""butter"", ""lemon juice"", ""small potato"", ""shallots"", ""olive oil"")",5.0,2.0,1194.6,74.8,33.0,312.1,348.1,52.7,8.0,7.7,75.9,4.0,,"c(""Open lamb out flat, place the fat-side down on a board.  Using a meat mallet or  rolling pin pound the lamb to even thickness."", ""Combine herbs, rind, garlic,  pepper and butter in a small bowl; spread the mixture over the fat-side of the  lamb."", ""Place lamb in a large shallow dish, drizzle the juice over.  Cover,  refrigerate 3 hours or overnight."", ""Place the potatoes and onions in a large  roasting dish; drizzle with oil.  Bake uncovered, in a moderately hot oven 20  minutes."", ""Place lamb, fat-side up, over the vegetables in the roasting dish.  Bake uncovered in moderately hot oven about 40 minutes or until lamb doneness as  desired."", 
""Remove the lamb from the dish, cover loosely with foil to keep warm."", ""Drain the excess juices from the pan, bake potatoes and onions in a very hot  oven another 15 minutes or until crisp."", ""Slice lamb and serve with the  vegetables."")"
97,144,Cheesy Chicken Noodle Casserole,1594,danica b. froisland,,PT35M,PT35M,1999-09-15T03:29:00Z,Make and share this Cheesy Chicken Noodle Casserole recipe from Food.com.,character(0),Chicken Breast,"c(""Chicken"", ""Poultry"", ""Meat"", ""< 60 Mins"", ""Oven"")","c(""2"", ""0.5"", ""1"", ""1/4"", ""0.5"", ""1"", ""1"", ""1/2"", ""1"")","c(""chicken breasts"", ""olive oil"", ""Velveeta cheese"", ""corn"", ""seasoning salt"", ""parsley flakes"", ""pepper"")",3.0,1.0,544.0,22.0,7.8,107.8,747.1,59.1,4.2,8.2,30.4,4.0,,"c(""Cook egg noodles in boiling water till chewy."", ""Cook chicken in olive oil, and  Lawry salt till chicken is not pink in middle, then drain oil."", ""Combine cream of chicken soup, egg noodles, and chicken till boiling."", ""Reduce heat, and add  Velveeta cheese, corn, and pepper."", ""Cook until all of Velveeta is melted."", ""Remove from heat and sprinkle with parsley flakes."")"
115,162,Chicken Lasagna,1562,Libby1,PT2H,PT30M,PT2H30M,1999-09-20T19:42:00Z,Make and share this Chicken Lasagna recipe from Food.com.,character(0),Chicken,"c(""Poultry"", ""Meat"", ""European"", ""Weeknight"", ""Oven"", ""< 4 Hours"")","c(""1"", ""1"", ""2"", ""1/3"", ""1"", ""1"", ""1"", ""3"", ""1 1/2"", ""1/4"", ""4"", NA, NA)","c(""onion"", ""green pepper"", ""skim milk"", ""fresh mushrooms"", ""pimiento"", ""dried basil"", ""nonfat cottage cheese"", ""mozzarella cheese"", ""parmesan cheese"", ""chicken"", ""cheddar cheese"")",5.0,2.0,209.3,10.3,4.7,29.4,693.5,10.9,0.8,3.1,18.1,8.0,,"c(""Mix filling ingredients in large bowl."", ""Spread 1 cup filling on bottom of each of 2 8x8 pans."", ""Cook noodles for 3 min (or not at all). Break noodles to fit pans and layer over filling."", ""Repeat. Evenly divide remaining filling for the final layer."", ""Sprinkle with paprika."", ""Freeze. To serve, sprinkle cheddar cheese on top and bake from frozen to done for 1-2 hours at 400 deg."")"
133,180,Chocolate Pound Cake,1530,Carole Reu,PT1H41M,PT1H35M,PT3H16M,1999-09-06T04:19:00Z,I am resending this recipe.  This is the corrected version!  I really made a  goof up on the original.  Sorry about the mistake I've made.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/18/0/picecIIb4.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/18/0/pic7egTmQ.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/18/0/picQ2WcHF.jpg"")",Dessert,"c(""Weeknight"", ""Oven"", ""< 4 Hours"")","c(""3"", ""1 1/2"", ""3"", ""1 1/2"", ""3"", ""1 1/4"", ""3/4"", ""2"", ""3/4"", ""1/4"", ""13"")","c(""boiling water"", ""vanilla"", ""eggs"", ""cake flour"", ""sugar"", ""sugar"", ""baking powder"", ""salt"", ""unsalted butter"")",4.5,5.0,2905.2,168.7,101.2,1031.4,1092.8,321.9,9.2,178.0,38.2,1.0,,"c(""Preheat oven to 350°F."", ""Use a 8 x 4 x 2 1/2\"" loaf pan, (4 cups) or any 6 cup loaf  pan or fluted tube pan, greased and floured."", ""In a medium mixing bowl whisk  together the cocoa and water until smooth."", ""Allow to cool to room temperature  and lightly whisk in the vanilla and eggs."", ""In a large mixing bowl combine the  remaining dry ingredients and mix on low speed for 30 seconds to blend."", ""Add 1/2  the chocolate mixture and the butter."", ""Mix on low speed until the dry  ingredients are moistened."", 
""Increase to medium speed and beat for 1 minute to  develop the cake's structure.  Scrape down the sides."", ""Gradually add the  remaining chocolate mixture in 2 batches, beating 20 seconds after each addition to incorporate the ingredients and strengthen the structure.  Scrape down the  sides."", ""Scrape the batter into the prepared pan and smooth the surface with a  spatula."", ""The batter will be almost 1/2 inch from the top of a 4-cup pan."", ""(if your  pan is slightly smaller, use any excess batter for cupcakes.)  Bake for 50 to 60 minutes, (40 to 50 minutes in a fluted tube pan) or until a wooden toothpick  inserted in the center comes out clean."", 
""Place loosely with buttered foil over  the cake after 20 minutes to prevent over browning."", ""The cake should start to  shrink away from the sides of the pan only after removal from the oven."", ""Let the cake cool in the pan on a rack for 10 minutes."", ""Loosen the sides with a metal  spatula and invert onto a greased wire rack."", ""If baked in a loaf pan, to keep  the bottom from splitting, reinvert so that the top is up and cool completely  before wrapping airtight."", ""TOPPING:  This is for extra moistness and gives a subtle coffee accent."", 
""In a  small pan, stir together 1/4 cup water and 2 Tbsp sugar."", ""Bring to a full rolling boil."", ""Cover and remove from heat.  When cool, add 1 tbsp Kahlua."", ""When cake is baked, brush half the syrup onto the top."", ""Cool the cake 10 minutes and invert it onto a lightly greased rack."", ""Brush the bottom and sides with remaining syrup."", ""Reinvert onto rack, top side up, to finish cooling."")"
147,196,Clam - Lobster Bake,1774,Esmie,PT6H40M,PT1H15M,PT7H55M,1999-08-10T06:57:00Z,"Even if you don't live at the beach, you can enjoy an impressive backyard clambake. Simply substitute a combination of greens and damp cheesecloth for seaweed, firewood for driftwood and heavy duty aluminum foil for the traditional sand covering.  About 12 lbs. of mixed greens (collard greens, kale, etc.) and 15 yards of cheesecloth will hold in moisture as food cooks. Three rolls of heavy duty 37 1/2  ft. aluminum foil will both line and seal pit","""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/19/6/196.jpg""",Lobster,"c(""Healthy"", ""Free Of..."", ""Weeknight"")","c(""8"", ""8"", ""8"", ""8"", ""8"", ""4 -8"")","c(""baking potatoes"", ""sweet potatoes"", ""corn"", ""onions"", ""chicken halves"", ""live lobsters"", ""clams"")",5.0,1.0,990.1,30.8,8.4,357.7,704.2,71.1,7.3,9.6,107.2,8.0,,"c(""Prepare your favorite clam chowder as an appetizer."", ""Serve clambake with plenty of melted butter, lemons, and watermelon."", ""\""  Detailed directions below."", ""Dig a bow-shaped pit 3 ft. in diameter and 1.5 feet deep in the center."", ""Using crisscross pattern, line with double thickness of heavy duty aluminum foil, then a layer of dry rocks about the size of grapefruit. NOTE: Wet rocks can explode. Build a bonfire on top of rocks in the pit. Use firewood and kindling."", ""Let the fire burn 1.5 to 2 hours or until burned down and rocks are hot. NOTE: Do not use charcoal."", 
""Soak corn-on-the-cob (with silk removed) and mixed greens in cold water while fire is burning."", ""Wash clams and set aside. Refrigerate lobster on ice. Peel onions; remove ends.  Oil potatoes."", ""Once fire has burned down, work quickly to prevent rocks from losing heat. Tamp down embers."", ""On top of rocks, layer pit in the following order: Half of the greens, strips of wet cheesecloth, potatoes, corn, onions, chicken halves, live lobsters and clams."", ""Cover food with remaining wet cheesecloth, then greens."", 
""Cover pit with heavy duty aluminum foil."", ""Crimp all sides to the edges of aluminum foil used to line the pit. Let food steam cook 40 to 60 minutes."", ""Remove foods immediately when done. Cooking times will vary depending on temperature of rocks."", ""Peek at clams after 40 minutes.  If they are open and lobsters are bright red, dinner is ready."", ""Serve with melted butter and lemon."")"
152,201,Citrus Baked Halibut,1549,Dave5003,PT30M,PT45M,PT1H15M,1999-08-17T04:35:00Z,Make and share this Citrus Baked Halibut recipe from Food.com.,character(0),Halibut,"c(""High Protein"", ""Healthy"", ""Free Of..."", ""High In..."", ""Weeknight"", ""Oven"", ""< 4 Hours"")","c(""2"", ""2"", ""1"", ""4"", ""1/4"", ""1"", ""1/2"", ""1/4"", ""1/2"", ""2"")","c(""halibut steaks"", ""butter"", ""onion"", ""garlic cloves"", ""fresh parsley"", ""salt"", ""black pepper"", ""fresh lemon juice"")",4.5,4.0,755.0,22.2,8.8,176.1,918.0,36.8,1.9,29.4,97.7,2.0,,"c(""OVEN COOKING:"", ""Rinse halibut in cold water and dry using paper toweling."", ""Arrange  halibut in a 9\"" x 13\"" oven-proof baking dish."", ""Preheat oven to 400 degrees Fahrenheit."", ""In a frying pan, add butter, onion and garlic. Saute until translucent."", ""Remove from heat; stir in parsley, orange rind, salt and pepper."", ""Spread mixture over  halibut steaks."", ""In a small bowl, mix together orange juice and lemon juice."", ""Sprinkle juice over steaks, but be careful not to wash away the onion/garlic  mixture."", 
""Bake fish in preheated 400 degree Fahrenheit oven for 20 to 22 minutes, turning over  at about 10 minutes of cooking time."", ""Continue cooking until time expires or until fish flakes easily with a fork."", ""DO NOT OVERCOOK FISH."", ""Spoon hot juices  over fish."", ""Serve at once."", ""MICROWAVE COOKING:"", ""Prepare and arrange fish and onion/garlic as above."", ""Reduce orange juice by 2 tablespoons."", ""Cover fish with a clear plastic wrap vented."", ""Cook on HIGH (full power) for 4 minutes."", ""Turn fish over and cook for an additional 3 to 4 minutes on HIGH (full power) or until fish flakes easily with  a fork."", 
""Spoon juices over fish and serve at once."", ""If desired, serve with Tartar Sauce."")"
156,206,Chocolate Almond Scones,97901,Zaney1,PT10M,PT40M,PT50M,1999-08-15T07:17:00Z,Make and share this Chocolate Almond Scones recipe from Food.com.,character(0),Scones,"c(""Quick Breads"", ""Breads"", ""High In..."", ""< 60 Mins"", ""Oven"")","c(""3 1/2"", ""5"", ""2"", ""1"", ""4"", ""3"", ""2"", ""3/4"", ""1"", ""1/2"")","c(""all-purpose flour"", ""baking powder"", ""sugar"", ""salt"", ""butter"", ""eggs"", ""chocolate chips"")",5.0,1.0,375.0,21.1,10.9,89.8,443.9,41.0,2.5,10.3,7.6,12.0,,"c(""Preheat oven to 425 degrees Fahrenheit."", ""Combine flour, baking  powder, sugar and salt."", ""Cut in  butter until it resembles course meal."", ""Add 2  eggs (1 egg is reserved for later use), almond extract and cream."", ""Stir until  soft dough forms; mix in chocolate  chips and toasted almonds."", ""Pat out dough until 3/4  inch thick."", ""Cut into diamond shape; brush  with reserved egg."", ""Place on baking  pan coated with cooking spray."", ""Bake for 10  minutes until lightly browned."", ""Serve warm.""
)"
181,231,Chocolate Cream Puffs,1530,Carole Reu,PT55M,PT1H15M,PT2H10M,1999-08-22T04:46:00Z,Make and share this Chocolate Cream Puffs recipe from Food.com.,character(0),Dessert,"c(""Weeknight"", ""Oven"", ""< 4 Hours"")","c(""1"", ""1/2"", ""2"", ""1/4"", ""1"", ""1"", ""5"", ""1"")","c(""water"", ""unsalted butter"", ""sugar"", ""salt"", ""flour"", ""eggs"", ""ice cream"")",5.0,3.0,235.8,14.7,8.6,117.2,115.2,20.9,0.7,11.6,5.4,12.0,,"c(""Combine water, butter, sugar and salt in a medium size saucepan."", ""Place over  medium low heat to melt butter."", ""Add flour and cocoa powder all at once; stir  vigorously until mixture pulls away from side of pan."", ""Remove from heat. Heat  oven to 400."", ""Lightly coat baking sheet with cooking spray."", ""With the saucepan  off heat, add eggs one at a time, to batter in saucepan, beating well after each addition."", ""With a 1/4 cup drop mixture onto baking sheet, spacing 2\"" apart. Bake for 40 minutes until puffed and firm."", 
""Cool slightly."", ""Cut off top third of each puff; scoop out soft center from bases."", ""Cool bases and top on wire rack."", ""Fill  puffs with ice cream of your choice; cover with tops."", ""Freeze on baking sheets  until firm."", ""Transfer to an airtight container."", ""Freeze for up to 1 week."", ""Place puff on plates."", ""Let stand 15 minutes."", ""Top with sauce of your choice."")"
182,232,Chocolate Cream Meringue Pie,1530,Carole Reu,PT19M,PT35M,PT54M,1999-08-21T10:27:00Z,Make and share this Chocolate Cream Meringue Pie recipe from Food.com.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/23/2/picoZjAEx.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/23/2/picf5rb8B.jpg"")",Pie,"c(""Dessert"", ""< 60 Mins"", ""Oven"")","c(""1"", ""1"", ""1/2"", ""6"", ""1/2"", ""2"", ""3"", ""1/2"", ""2"", ""4"", ""1/2"", ""6"")","c(""sugar"", ""all-purpose flour"", ""salt"", ""milk"", ""butter"", ""margarine"", ""vanilla"", ""cream of tartar"", ""sugar"")",4.5,22.0,456.1,23.4,11.4,101.3,425.1,56.4,2.4,34.8,7.8,8.0,,"c(""FILLING:"", ""Combine sugar, flour, cocoa, and salt in medium saucepan; stir in milk."", ""Cook  over medium heat, stirring constantly until mixture boils; remove from heat."", ""Stir half of the mixture into beaten egg yolks; return egg mixture to saucepan."", ""Continue cooking and stirring over medium heat until mixture boils; boil and  stir for 1 minute."", ""Remove from heat and stir in butter and vanilla."", ""Cool for  10 minutes."", ""Pour into pre-baked pie shell."", ""MERINGUE TOPPING:"", ""Heat oven to 350°F."", 
""In small mixing bowl, beat egg whites and cream of tartar until foamy."", ""Gradually add sugar and beat until stiff peaks form."", ""Spread this on warm pie  filling, carefully sealing to the edges of crust."", ""Bake 5 to 8 minutes or just  until meringue is lightly browned."", ""Cool to room temperature; chill for several  hours."")"
196,250,Thai Chicken Curry,1601,Gilcat2,PT23M,PT10M,PT33M,1999-09-04T20:47:00Z,Make and share this Thai Chicken Curry recipe from Food.com.,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/25/0/pico7fh1h.jpg""",Chicken Breast,"c(""Chicken"", ""Poultry"", ""Meat"", ""Thai"", ""Asian"", ""< 60 Mins"", ""Stove Top"")","c(""1"", ""3"", ""3"", ""1"", ""1/4"", ""1"")","c(""coconut milk"", ""potatoes"", ""nam pla"", ""curry powder"", ""clove"", ""boneless chicken"")",4.5,13.0,572.8,38.6,23.7,85.1,1163.0,32.2,4.1,1.8,27.2,4.0,,"c(""Combine cocnut milk, potatoes, nam pla, curry powder, and cloves."", ""Simmer 15 minutes."", ""Add chicken; cover, increase heat and cook until chicken and potatoes are tender, about 8 minutes."", ""Stir  occasionally."", ""Serve with rice."")"
199,253,Thai Cucumber Salad,1601,Gilcat2,,PT15M,PT15M,1999-09-04T20:42:00Z,Make and share this Thai Cucumber Salad recipe from Food.com.,character(0),Vegetable,"c(""Thai"", ""Asian"", ""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""< 15 Mins"", ""No Cook"", ""Easy"")","c(""1"", ""1"", ""1"", ""1/2"", ""1"", ""1"", ""1"", ""1/4"")","c(""cucumber"", ""onion"", ""sugar"", ""nam pla"", ""lime"", ""peanuts"")",4.5,2.0,39.4,1.3,0.2,0.0,697.0,7.3,1.4,3.0,1.7,2.0,,"c(""Seed and finely chop cucumbers; pat dry."", ""Mix together with onion and shrimp;  sprinkle with sugar."", ""Season with nam pla and lime juice."", ""Sprinkle with peanuts and optional chilies."")"
204,259,Chinese Style Sauteed Firm Tofu,10033,spatchcock,PT5M,PT20M,PT25M,1999-08-12T06:22:00Z,"This is an adopted recipe that I have not yet had the chance to try. Please review and add comments should you try this before I do (or after, of course!) Thanks!",character(0),Soy/Tofu,"c(""Peppers"", ""Beans"", ""Vegetable"", ""Chinese"", ""Asian"", ""Low Cholesterol"", ""Free Of..."", ""< 30 Mins"", ""Stove Top"")","c(""24"", ""2"", ""1/2"", ""1"", ""6"", ""1"", ""2"", ""1"", ""1 1/2"", ""1"", ""1"", ""1"", ""1"")","c(""firm tofu"", ""salt"", ""onion"", ""mushrooms"", ""carrot"", ""green bell peppers"", ""sake"", ""white wine"", ""soy sauce"", ""gingerroot"", ""sugar"", ""water"", ""cornstarch"")",3.5,5.0,233.2,14.1,2.4,0.0,701.0,13.8,3.5,7.6,16.3,,,"c(""Cut tofu crosswise into pieces the shape of French-fried potatoes."", ""Heat a wok, coat with oil and sprinkle on the salt."", ""Add onion then mushrooms, stir-frying each over high heat for about 30 seconds."", ""Reduce heat to medium-low."", ""Add carrot, green pepper and tofu in that order, sauteing each for about 1 minute."", ""Reduce heat to low and add sake, soy sauce, ginger, sugar and water."", ""Simmer for 3 to 4 minutes."", ""Stir in dissolved cornstarch and simmer 30 seconds more."")"
266,327,Chicken Caesar Wraps,1545,Nancy Van Ess,,PT1H,PT1H,1999-08-15T07:28:00Z,Make and share this Chicken Caesar Wraps recipe from Food.com.,character(0),Lunch/Snacks,"c(""Chicken Breast"", ""Chicken"", ""Poultry"", ""Meat"", ""< 60 Mins"")","c(""3"", ""1"", ""1"", ""1/2"", ""1"", ""8"", ""2"", ""3"", ""1/2"", ""1/2"", ""1/2"", NA, NA)","c(""olive oil"", ""lemon pepper"", ""garlic"", ""skinless chicken breast half"", ""sour cream"", ""milk"", ""parmesan cheese"", ""pepper"", ""garlic"", ""flour tortilla"", ""romaine lettuce"")",4.5,10.0,357.6,26.2,9.8,108.1,241.0,2.8,0.1,2.1,27.1,4.0,,"c(""In a large self-closing plastic bag combine olive oil, lemon pepper, garlic, and Italian seasoning."", ""Add chicken to bag and seal tightly."", ""Turn bag gently to distribute marinade. Refrigerate 15  minutes."", ""Preheat grill to medium heat."", ""Remove the chicken from the marinade and arrange on the grill rack."", ""Grill 10 to 14 minutes, turning occasionally."", ""Remove chicken and cut into strips."", ""In a small bowl combine sour cream, milk, parmesan cheese, Italian seasoning, pepper and garlic for the dressing."", 
""Place Romaine lettuce and sliced chicken in a warmed tortilla."", ""Top with dressing."", ""Fold tortilla."", ""NOTES : I slice chicken and then place in marinade. I also cook on the stovetop."")"
276,338,Thai Fish Curry,1554,Jacques Lorrain,PT15M,PT40M,PT55M,1999-09-04T21:02:00Z,Make and share this Thai Fish Curry recipe from Food.com.,character(0),Bass,"c(""Thai"", ""Asian"", ""Very Low Carbs"", ""< 60 Mins"")","c(""1/3"", ""2"", ""2"", ""1"", ""1"", ""1"", ""3"", ""3/4"", ""1"", ""3/4"", ""1"", ""2/3"", NA, NA)","c(""onion"", ""fresh cilantro stems"", ""fresh lemongrass"", ""turmeric"", ""fresh ginger"", ""cumin"", ""garlic cloves"", ""sea bass fillet"", ""canned unsweetened coconut milk"", ""bottled clam juice"", ""fresh cilantro"", ""rice"")",,,498.5,35.4,23.3,72.3,311.9,12.8,1.6,1.4,35.5,2.0,,"c(""Blend onion, cilantro, lemongrass, turmeric, ginger, cumin, garlic, and dried red peppers in a food processor to dry paste, stopping frequently to scrape down sides of work bowl. (Paste can be prepared  3 days ahead. Cover and chill.)"", ""Heat vegetable oil in a medium non-stick skillet over medium-high heat."", ""Add 2  rounded tablespoons spice paste; stir 1 minute."", ""Add fish and cook 2  minutes, turning occasionally with tongs."", ""Add coconut milk and clam  juice; simmer until fish is cooked through, turning occasionally, about 6 minutes."", 
""Transfer fish to plate."", ""Boil liquid until reduced to thick sauce, about 8 minutes."", ""Season with salt."", ""Return fish to sauce and heat through."", ""Sprinkle with cilantro."", ""Serve over rice."", ""The mild spice paste is also great used as a base for chicken and  shrimp curries."")"
297,362,Lemon Chicken,1545,Nancy Van Ess,,PT55M,PT55M,1999-09-02T21:08:00Z,Make and share this Lemon Chicken recipe from Food.com.,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/36/2/pice12Er8.jpg""",Chicken Breast,"c(""Chicken"", ""Poultry"", ""Meat"", ""Healthy"", ""< 60 Mins"", ""Oven"")","c(""4"", ""2"", ""1/2"", ""1/2"", ""1/4"", ""1/4"", ""1"", ""2"", ""1"", ""1"", ""1"")","c(""skinless chicken breast halves"", ""lemons"", ""unbleached flour"", ""salt"", ""fresh pepper"", ""paprika"", ""lemon, rind of"", ""brown sugar"", ""fresh lemon juice"", ""water"", ""lemon"")",4.0,9.0,232.5,3.4,0.7,75.5,140.4,23.4,1.9,8.0,27.2,4.0,,"c(""Place chicken in bowl or casserole. Cover with lemon juice and marinate in  refrigerator for several hours or overnight, turning chicken periodically."", ""Preheat oven to 350 degrees."", ""Combine flour, salt, pepper and paprika in plastic bag."", ""Remove chicken from marinade and coat each with flour by shaking it in bag."", ""Place chicken in baking pan in a single layer."", ""Either peel the zest from a lemon and chop it fine in your food processor, or  grate the zest with a hand grater."", ""Mix grated peel with brown sugar."", 
""Sprinkle the lemon zest mixture evenly over the chicken breasts."", ""Combine lemon  juice and water and sprinkle evenly over chicken."", ""Put 1 lemon slice on each chicken breast and bake for 35-40 min.  or until cooked through."", ""To make sure chicken is cooked, cut one of them in the middle and make sure that it is not red or pink, then, if it is, cook it a little bit more."")"
298,363,Hawaiian Ham Salad,56112,Jellyqueen,,PT30M,PT30M,1999-09-13T03:56:00Z,Make and share this Hawaiian Ham Salad recipe from Food.com.,character(0),Pineapple,"c(""Pork"", ""Tropical Fruits"", ""Fruit"", ""Meat"", ""Hawaiian"", ""< 30 Mins"")","c(""2"", ""8"", ""2"", ""1/2"", ""1/4"", ""1"", ""1/4"")","c(""smoked ham"", ""pineapple chunks"", ""celery ribs"", ""black olives"", ""mayonnaise"", ""lemon juice"", ""peanuts"")",4.5,2.0,166.4,11.3,1.6,3.8,246.2,15.8,2.1,10.0,3.0,4.0,,"c(""Combine ham, pineapple, celery, and olives."", ""Mix"", ""mayonnaise and lemon juice; stir into ham mix."", ""Chill  at least an hour."", ""Stir in peanuts before serving."", ""-----"")"
307,372,Pecan Shortbread,1545,Nancy Van Ess,PT12M,PT40M,PT52M,1999-09-12T06:08:00Z,Make and share this Pecan Shortbread recipe from Food.com.,character(0),Dessert,"c(""Cookie & Brownie"", ""Fruit"", ""Nuts"", ""Scottish"", ""European"", ""Christmas"", ""< 60 Mins"", ""Oven"", ""Easy"")","c(""4 1/2"", ""1"", ""1"", ""2 1/2"", ""2"")","c(""flour"", ""pecans"", ""butter"", ""light brown sugar"", ""vanilla extract"")",,,113.2,6.3,3.3,13.6,39.5,13.6,0.4,7.5,1.0,,72 cookies,"c(""Preheat oven to 350 degrees Fahrenheit."", ""Combine flour and pecans."", ""In a large bowl, cream  the butter and brown sugar."", ""Beat in the vanilla extract."", ""Gradually stir in the dry ingredients. The dough will be stiff."", ""Pinch off walnut size pieces of dough and roll into small balls."", ""Place the balls 1-1/2 inches apart on ungreased cookie sheets."", ""Flatten the cookies with the back of a spoon dipped in flour."", ""Back for 10 to 12 minutes until lightly colored."", ""Transfer onto wire racks to  cool.""
)"
