RecipeId,Name,AuthorId,AuthorName,CookTime,PrepTime,TotalTime,DatePublished,Description,Images,RecipeCategory,Keywords,RecipeIngredientQuantities,RecipeIngredientParts,AggregatedRating,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions
116,Blueberry Scones,1531,Mimi Hiller,PT22M,PT55M,PT1H17M,1999-08-18T04:30:00Z,Make and share this Blueberry Scones recipe from Food.com.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/6/3VsX300jTOOiZyIg6oV2_blueberry-scones-3.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/6/Pdw8MwSBSeSeIjtGzdEn_IMG_3687.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/6/29KUHClS4CNI0qz1BanJ_FB6A1B91-56B2-442D-B7CE-0DC70CA05C81.jpeg"", ""https://img.sndimg.com/food/image/upload/v1/img/feed/116/YO6JtCb3TemvhHvh9bi5_image.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/6/a7WQtWyRf6AkQ7YGBZoR_DSC_1135.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/6/7qrKeQQh263RVQAjQRsg_image.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/6/01496581463.jpeg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/6/QbZXDx15QvmTEZcJFsDJ_blueberry-scones-4.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/6/L1y2uQxRc23Shd4MqRhn_blueberry-scones-2.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/6/picxvhWQW.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/6/picI1PiFQ.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/6/picq9Ryom.jpg"")",Scones,"c(""Quick Breads"", ""Breads"", ""Berries"", ""Fruit"", ""Sweet"", ""Weeknight"", ""Oven"", ""< 4 Hours"")","c(""2"", ""3"", ""1"", ""3/4"", ""6"", ""1 1/2"", ""1"", ""1/3"", ""2"")","c(""all-purpose flour"", ""sugar"", ""baking powder"", ""salt"", ""unsalted butter"", ""fresh blueberries"", ""lemon, zest of"", ""heavy cream"", ""eggs"")",5.0,38.0,277.3,13.9,8.2,83.0,377.8,33.4,1.5,7.6,5.3,8.0,,"c(""Adjust rack to center of oven, and heat to 400 degrees."", ""Place a Silpat baking mat on a baking sheet, and set aside. In a large bowl, sift together flour, 3 tablespoons sugar, baking powder, and salt. Using a pastry blender, or two knives, cut in butter until the largest pieces are the size of small peas."", ""Stir in blueberries and zest. Using a fork, whisk together cream and egg in a liquid measuring cup."", ""Make a well in the center of dry ingredients and pour in cream mixture. Stir lightly with fork just until dough comes together."", 
""Turn out onto a lightly floured surface, and knead a few times to mix well."", ""Pat dough into a 6-inch square about 1 1/4 inches thick."", ""Using a floured knife, cut into four 3-inch squares."", ""Cut squares in half on the diagonal to form eight triangles."", ""Transfer to prepared baking sheet. Brush tops with cream and sprinkle with sugar."", ""Bake until golden brown, 20 to 22 minutes."", ""Transfer scones from baking sheet to wire racks to cool."")"
121,Lamb and Pork Cassoulet,1590,j godsey,PT1H,PT15M,PT1H15M,1999-09-20T06:48:00Z,Make and share this Lamb and Pork Cassoulet recipe from Food.com.,character(0),Lamb/Sheep,"c(""Pork"", ""Meat"", ""European"", ""Weeknight"", ""Roast"", ""Oven"", ""< 4 Hours"")","c(""1"", ""1"", ""1"", ""1"", ""1/2"", ""1/4"", ""1"", ""1"", ""1"", ""1"")","c(""cannellini beans"", ""ketchup"", ""chili powder"", ""thyme"", ""water"", ""bacon bits"", ""lamb chop"", ""onion"")",,,584.9,30.3,9.9,104.7,838.4,36.7,12.4,7.2,40.5,2.0,,"c(""Saute onion and garlic in oil."", ""Add lamb and pork."", ""Saute 5 minutes until cooked  though."", ""Combine everything in a small deep oven safe dish."", ""Bake uncovered 350   30 minutes."", ""HINTS: for those who like more beans & less meat Add another can of beans & half as much meat. Just use a tad more water."", ""If you liked it or hated it please let me know -- ."")"
129,Champagne Punch,1592,polar-express,,PT5M,PT5M,1999-08-21T11:22:00Z,Here is a good punch recipe for any special occasion.  We serve this every year for Christmas Eve.  It is always a big hit.,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/9/picI35rA2.jpg""",Punch Beverage,"c(""Beverages"", ""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""Free Of..."", ""Christmas"", ""< 15 Mins"", ""For Large Groups"", ""Easy"")","c(""1"", ""1"", ""1"", ""1"", ""1"")","c(""frozen limeade concentrate"", ""ginger ale"")",5.0,30.0,236.8,0.2,0.0,0.0,14.2,41.6,0.2,38.1,0.6,20.0,,"c(""Mix the juice concentrates in punch bowl (do not add water)."", ""Stir in the Gingerale then add the Champagne (do not stir after adding the champagne!)"", ""** Note ** The large bottles of Gingerale and Champagne should be equal volumes (I use 2 L.  bottles)."")"
135,Cherry Sandwich Maker Snack,1593,Traci Evans,,PT30M,PT30M,1999-09-02T18:31:00Z,Make and share this Cherry Sandwich Maker Snack recipe from Food.com.,character(0),Lunch/Snacks,"c(""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""< 30 Mins"", ""Easy"")","c(""2"", ""1"", NA)","""powdered sugar""",5.0,5.0,73.3,0.8,0.2,0.0,171.3,14.3,0.6,1.1,1.9,,2 triangular,"c(""Spread a thin layer between buttered bread and place in sandwich maiker."", ""Note: do not add too much filling or it will make one terrible mess in sandwich maker."", ""Let brown."", ""Remove from sandwich maker and sprinkle with powdered sugar."", ""Makes two triangular tarts."", ""My kids love them."")"
145,Caramel Sultana Square,1543,Doreen Randal,PT30M,PT20M,PT50M,1999-08-25T05:13:00Z,Make and share this Caramel Sultana Square recipe from Food.com.,character(0),Dessert,"c(""< 60 Mins"", ""Oven"")","c(""125"", ""125"", ""1"", ""1 1/2"", ""2"", ""1"", NA, ""90"", ""7"", ""2"", ""1/4"")","c(""butter"", ""sugar"", ""egg"", ""flour"", ""baking powder"", ""sultana"", ""butter"", ""golden syrup"", ""sugar"")",,,3770.5,198.6,123.2,742.8,1963.4,468.4,5.1,302.6,44.2,,1 cake,"c(""Cream butter and sugar, add egg then dry ingredients."", ""Divide shortcake in two."", ""Press one half in tin."", ""Melt together and pour over base.  Sprinkle with sultanas and cover with remaining mixture.  Bake in a moderate oven 20 - 30 minutes."")"
150,All-Purpose Crock Pot Chicken,1536,Hilary,PT8H40M,PT20M,PT9H,1999-08-10T19:18:00Z,"I discovered this one a few weeks ago. I started out trying to make chicken and  rice and ended up with this.

It is very tender and very good.  An excellent  make-ahead dish for summer.  All the work is done before the crock pot is even  warm.

This is excellent for fajitas, pasta salads,  chicken salad, soup, added to beans and rice, just laying on bread for chicken  sandwiches, or just eating cold.",character(0),Whole Chicken,"c(""Chicken"", ""Poultry"", ""Meat"", ""Very Low Carbs"", ""Weeknight"")","c(""1"", NA, NA, ""1"", NA, NA, NA, NA, NA, NA)","c(""chicken"", ""lemon pepper"", ""salt"", ""bell pepper"", ""celery"", ""carrot"", ""green onion"", ""garlic"", ""water"")",5.0,12.0,247.2,17.3,5.0,86.2,99.9,0.0,0.0,0.0,21.4,8.0,,"c(""If using thigh portions or a cut up fryer, etc, remove all skin and as much fat  as possible. I boil the skins with garlic for the dog."", ""There is no need to bone  the chicken."", ""Put about 1/4 inch water in the slow cooker."", ""Rinse the chicken  well, getting into the crevices, and sprinkle with the Cajun seasoning on both  sides."", ""Go easy at first; this is NOT low-salt and it tends to be a little spicy."", ""I start immediately placing the chicken in the slow cooker."", ""I rinse one piece,  season both sides, and layer it in the pot. When you are done seasoning all the  chicken (I generally do 2-3 lbs in a batch; less is not worth the time), cover  the pot and let the chicken stand for 30 minutes."", 
""At the end of that time, cover the chicken fully with water (don't skimp) and set the cooker on \""Low.\"" Cooking time is up to you."", ""A minimum of 8-10 hours is what I recommend.  I  usually set the chicken cooking in an afternoon, and let it cook overnight.  Often it will cook for 12-24 hours."", ""This is an excellent dish for those of us  who never learned to properly debone a chicken ;) At the end of the cooking  time, merely pull out the chicken pieces and separate the bones from the meat.  It will literally fall apart. Save the broth for adding to mashed potatoes,  gravy, rice or soup."", 
""You will have a good deal of chicken here. Separate into  smaller portions and freeze."")"
158,Chicken Flambe,1533,Dancer,PT35M,PT35M,PT1H10M,1999-08-14T06:11:00Z,Make and share this Chicken Flambe recipe from Food.com.,character(0),Chicken Breast,"c(""Chicken"", ""Poultry"", ""Meat"", ""Weeknight"", ""Oven"", ""< 4 Hours"")","c(""1"", NA, ""2"", ""1/2"", ""2"", ""1/3"", ""1"", ""2"", ""4"", ""2"")","c(""boneless skinless chicken breast"", ""onion"", ""portabella mushroom caps"", ""dry white wine"", ""butter"", ""margarine"", ""flour"")",,,304.6,14.6,4.5,88.0,158.6,6.6,0.8,2.2,25.6,4.0,,"c(""Preheat oven to  350  F."", ""Lightly season the chicken breasts with salt and pepper."", ""In a large skillet over medium heat, brown chicken breasts on both sides."", ""Add onions and mushrooms and stir cook until the onions soften."", ""Transfer mixture to a shallow casserole dish and bake, uncovered, for 15 minutes."", ""In a small sauce pan warm the orange liqueur over low heat (should be lukewarm, not hot). Take the casserole out of the oven."", ""Pour the liqueur over the chicken and vegetables and ignite it. When the flames die out, add the wine and return the casserole to the oven for another 15 minutes or until chicken breasts are no longer pink inside. Remove the casserole from the oven."", 
""Arrange the chicken and vegetables on a warm platter and keep hot. Mix butter and flour to make a paste. Stir this into the pan juices, add cream and simmer over low heat for 5 minutes until thickened."", ""Pour sauce over chicken."", ""Serve with wild rice and vegetables."")"
163,Chicken Liver Pate,1599,Mays Pearls of Wisd,PT3H,PT35M,PT3H35M,1999-08-11T05:12:00Z,Make and share this Chicken Liver Pate recipe from Food.com.,character(0),Chicken Livers,"c(""Chicken"", ""Beef Organ Meats"", ""Beef Liver"", ""Poultry"", ""Meat"", ""European"", ""Very Low Carbs"", ""Free Of..."", ""Weeknight"", ""< 4 Hours"")","c(""1/2"", ""4"", ""1/2"", ""1"", ""2"", ""2"", ""1/2"", ""1/2"", ""1"")","c(""butter"", ""cream cheese"", ""chicken liver"", ""onion"", ""chicken broth"", ""brandy"", ""paprika"", ""salt"", ""cayenne pepper"")",,,201.2,17.9,10.9,144.2,301.2,1.9,0.2,0.7,6.2,8.0,,"c(""Bring liver, onions, chicken broth, brandy to boil."", ""Cook 5 min."", ""Put in  blender."", ""Add paprika, salt and cayenne pepper."", ""Blend on high."", ""Add butter and cream cheese. Pour in a mold or container."", ""Let stand covered in refrigerator until  firm about 3 hours."", ""Serve with crackers or party rye.                    - - - - - - - - - - - - - - - - - -"")"
171,Chicken on Sunday  (Or Whenever),1548,Peggy Benisch,PT2H,PT35M,PT2H35M,1999-08-28T00:27:00Z,Make and share this Chicken on Sunday  (Or Whenever) recipe from Food.com.,character(0),Whole Chicken,"c(""Chicken"", ""White Rice"", ""Poultry"", ""Rice"", ""Meat"", ""Weeknight"", ""Oven"", ""< 4 Hours"")","c(""1"", ""1"", ""1"", ""1 1/2"", ""1"", NA, NA, NA)","c(""Minute Rice"", ""milk"", ""chicken parts"", ""seasoning salt"", ""pepper"", ""curry"")",4.0,1.0,951.2,31.8,9.5,129.1,769.2,118.7,2.8,1.5,42.4,6.0,,"c(""Grease large 9x13-inch pan."", ""Heat soups and milk together in a large saucepan."", ""Stir in Minute Rice (you want the mixture to be rather juicy). Pour into 9x13-inch pan."", ""Place chicken part on top and then sprinkle with seasoning salt, pepper and curry lightly."", ""Cover all with foil."", ""Bake at 325°F for 2 hours and 15 minutes."", ""I have baked this on a higher temp with less baking time but, you have to watch that you don't make the rice get hard and crusty by doing so."")"
176,Cola Cake,1613,george nuckols,PT35M,PT20M,PT55M,1999-08-22T04:41:00Z,Make and share this Cola Cake recipe from Food.com.,character(0),Dessert,"c(""< 60 Mins"", ""Oven"")","c(""2"", ""1 3/4"", ""3"", ""1"", ""1/2"", ""1"", ""1"", ""1"", ""2"", ""1 1/2"")","c(""flour"", ""white sugar"", ""baking soda"", ""buttermilk"", ""butter"", ""margarine"", ""vanilla"", ""eggs"", ""miniature marshmallows"")",5.0,1.0,560.7,24.9,15.1,108.1,403.6,80.2,1.2,52.8,6.1,8.0,,"c(""Beat all but eggs and marshmallows for two minutes."", ""Add eggs and beat two minutes more.  Stir in marshmallows."", ""Bake in 9 X 13 pan for 35 minutes."", ""FROSTING: 1/2 cup butter or margarine  3 tablespoon cocoa 1 pound powdered sugar 1/3 cup Coke or Pepsi 1 cup chopped nuts Mix butter, cocoa, sugar and Coke well together and add chopped nuts."", ""Pour over hot cake."")"
