,RecipeId,Name,CookTime,PrepTime,TotalTime,Description,RecipeCategory,Keywords,RecipeIngredientQuantities,RecipeIngredientParts,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions
10,292456,Sweet N Sour Spicy Sausage,PT30M,PT10M,PT40M,"Put a twist on sweet 'n sour by using Chorizo and Italian Sausages. Guaranteed to take your taste buds on a flavorful rollercoaster ride! E-Z to make, too!",One Dish Meal,"c(""< 60 Mins"", ""Easy"")","c(""1"", ""1"", ""1"", ""1"", ""1"", ""1 1/2"", ""1"", ""1/2"", ""1/2"", ""6"")","c(""chorizo sausage"", ""Italian sausage"", ""green bell pepper"", ""red bell pepper"", ""ketchup"", ""pineapple chunks"", ""brown sugar"")",685.3,47.7,14.9,82.2,1893.8,39.8,1.3,33.2,25.9,8.0,,"c(""Cook sausages according to instructions. Set aside. (okay to let cool while making sauce)."", ""Parboil the bell peppers by rinsing them and then placing the wet peppers on a glass plate on high heat in the microwave for 2-3 minutes."", ""Once cool enough to handle, chop peppers into 1/2 in chunks."", ""Slice the onion into rings. (Or chop)."", ""Heat oil in a Dutch oven, large skillet or large sauce pan."", ""Add the peppers and onion and  sauté until soft."", ""Add the ketchup, sugar, pineapples and juice."", 
""Stir and bring mixture to boil."", ""Turn heat down low and simmer for 20 minutes."", ""(NOTE: At first mixture will taste more like ketchup. As mixture continues to cook, it will taste more like traditional sweet 'n sour sauce. Patience is a must!)."", ""***NOTE: If sauce is still lacking sweet 'n sour flavor, add a little more pineapple juice and a little more brown sugar-- NOT TOO MUCH)."", ""Chop the sausages into 1/2 inch pieces. Add to sauce."", ""Stir and cook for remaining 10 minutes. (NOTE: As sausage reheats, the flavors from the sausage will blend in with the sweet 'n sour sauce, giving it a unique taste."", 
""Serve over rice. ENJOY!"")"
11,138414,Leslies Topside Roast,PT1H,PT5M,PT1H5M,Leslie lived across the road from us and was a very good friend of Mums. Mum cooked this alot when we were growing up as kids. Make sure you weigh your roast for cooking times. I have quoted cook time for a 1 kilo roast. You may like to increase the paste mixture for larger size roasts.,One Dish Meal,"c(""Roast Beef"", ""Meat"", ""New Zealand"", ""Australian"", ""Toddler Friendly"", ""Kid Friendly"", ""Christmas"", ""Roast"", ""Oven"", ""Beginner Cook"", ""< 4 Hours"", ""Easy"")","c(""1"", ""1"", ""1"", ""1"")","c(""mustard"", ""soy sauce"")",672.7,52.5,20.2,172.5,440.9,0.5,0.2,0.2,46.6,,,"c(""Preheat oven to 150°C."", ""Mix mustard, soy and oil into paste."", ""Spread over topside."", ""Cook uncovered, 25 minutes for each 500grams."", ""Stand for 15 minutes before serving."")"
12,260164,Mushroom Risotto With White Wine,PT25M,PT20M,PT45M,Make and share this Mushroom Risotto With White Wine recipe from Food.com.,One Dish Meal,"c(""Brown Rice"", ""Rice"", ""Vegetable"", ""European"", ""Vegan"", ""Winter"", ""< 60 Mins"")","c(""1"", ""1 1/2"", ""1/2"", ""1/4"", ""1"", ""1/2"", ""1"", ""1"", ""2"", ""1/2"", ""1/4"", NA)","c(""brown rice"", ""white wine"", ""water"", ""olive oil"", ""vegetable bouillon cube"", ""white mushroom"", ""dried funghi porcini"", ""onion"", ""garlic cloves"", ""saffron"", ""parmesan cheese"")",390.0,15.1,2.2,0.0,12.4,43.2,2.6,3.4,5.8,,,"c(""Preheat oven at 450 degrees."", ""Pour the wine, water and vegetable bouillon in a pan and let sit in medium to low heat."", ""Sauté the onion in olive oil for about 5 minutes. Then, add the garlic, saffron, thyme, salt and pepper. Sauté for another 2-3 minutes."", ""Add the rice and stir well for about 5 minutes."", ""Add the warm mix of wine, water and bouillon. Stir well."", ""Put the pan in the oven for about 20 minutes. If rice is still not completely cooked after 20 minutes, add more water or wine and leave in the oven for another 10-15 minutes."", 
""Add the parmesan cheese at the end."")"
13,129941,Chili Chicken Casserole,PT45M,PT20M,PT1H5M,"You can use whatever noodles you want- the original recipe just said &quot;noodles.&quot; Also, you don't have to use the reduced fat soups- It is just a preference of mine. I hope you enjoy!",One Dish Meal,"c(""Chicken"", ""Poultry"", ""Cheese"", ""Meat"", ""Kid Friendly"", ""Free Of..."", ""Oven"", ""< 4 Hours"", ""Easy"")","c(""16"", ""1/2"", ""1 -2"", ""1"", ""2"", ""1"", ""2"", ""4"", ""3"")","c(""onion"", ""butter"", ""margarine"", ""pimientos"", ""chili peppers"", ""chicken"", ""cheddar cheese"")",408.5,18.1,10.5,96.2,286.7,42.6,2.2,2.0,18.8,,,"c(""In large skillet cook and stir onions in butter until tender."", ""Add pimentos, soup and chili peppers."", ""In a greased 4 quart casserole, layer 1/2 the noodles, 1/2 the chicken, 1/2 soup mixes and 1/2 the cheese."", ""Repeat the layers (Ending with cheese)."", ""Bake uncovered at 350 degrees for 45 minutes."")"
14,115017,Beef Goulash,PT40M,PT10M,PT50M,Make and share this Beef Goulash recipe from Food.com.,One Dish Meal,"c(""< 60 Mins"", ""Easy"")","c(""1 1/2"", ""1"", ""1"", ""16"", ""2"", ""7"", ""6"", ""1"", ""1"", NA, ""1/2"", ""1"")","c(""ground beef"", ""onion"", ""celery"", ""stewed tomatoes"", ""water"", ""elbow macaroni"", ""tomato paste"", ""Worcestershire sauce"", ""salt"", ""pepper"", ""sugar"")",438.3,17.9,6.8,77.1,518.0,41.6,3.6,11.0,27.9,6.0,,"c(""Cook and stir ground beef, onion and celery in 4 quart ovenproof dutch oven until beef is brown; drain."", ""Stir in remaining ingredients."", ""Cover and bake in 350 degrees oven until liquid is absorbed and goulash is hot, about 40 minutes; stir."")"
15,515559,Honey-Lemon Glazed Cauliflower,PT17M,PT20M,PT37M,"From Fine Cooking Magazine - &quot;This sweet-tart glaze along with the heat of crushed red pepper and sweet smoked paprika, and the depth of coriander -- give a mellow cauliflower a zesty profile&quot;.",Vegetable,"c(""Low Protein"", ""Low Cholesterol"", ""< 60 Mins"", ""Easy"")","c(""1/4"", ""1"", ""1"", NA, ""2"", ""1"", ""1/2"", ""1/4"", ""2"", ""1/2"", ""1"")","c(""olive oil"", ""cauliflower"", ""red onion"", ""kosher salt"", ""honey"", ""ground coriander"", ""crushed red pepper flakes"", ""fresh lemon juice"", ""lemon zest"", ""fresh cilantro"")",203.1,14.1,2.0,0.0,46.5,19.5,3.8,12.8,3.3,4.0,,"c(""Heat 3 tablespoons oil in a heavy duty 12-inch skillet (preferably cast iron) over medium-high heat.  Add the cauliflower and 1/2 teaspoons salt and stir to coat.  Cook, without stirring, until the cauliflower is browned on one side; about 4 minutes.  Turn each piece over and cook, without stirring, until evenly browned on the second side, about 4 minutes more.  Reduce the heat to medium and continue cooking, stirring often, until browned all over, about 4 minutes longer."", ""Meanwhile, in a small bowl, stir 2 tablespoons water and the remaining 1 tablespoons oil with the onion, honey, ground coriander, paprika and pepper flakes."", 
""Add the onion mixture to the skillet and cook , stirring occasionally, until the onion is softened, about 1 minute.  Continue cooking, stirring constantly, until most of the liquid has evaporated and the cauliflower is glazed, about 4 minutes.  Transfer to a serving bowl, stir in the lemon juice and zest, and garnish with the cilantro.  Serve immediately."")"
16,90282,Vegetable Alecha,PT1H,PT20M,PT1H20M,"Ethiopian vegetable stew traditionally eaten with injera, but also completely delicious with couscous",Vegetable,"c(""African"", ""Low Protein"", ""Vegan"", ""Low Cholesterol"", ""Healthy"", ""For Large Groups"", ""Beginner Cook"", ""< 4 Hours"", ""Easy"", ""Inexpensive"")","c(""1"", ""4"", ""4"", ""3"", ""1"", ""2"", ""1"", ""3"", ""1"", ""1/4"", ""1"", ""2"", ""2"", ""2"", ""2"", ""2"", ""1"", ""1"", ""1"", ""1/2"", ""1/2"", ""1/2"", ""1/2"")","c(""onion"", ""carrots"", ""water"", ""tomato sauce"", ""salt"", ""ginger"", ""potatoes"", ""cabbage"", ""paprika"", ""cumin"", ""cardamom"", ""ground fenugreek"", ""ground ginger"", ""cayenne"", ""salt"", ""white pepper"", ""ground coriander"", ""nutmeg"", ""turmeric"", ""ground allspice"", ""cinnamon"", ""ground cloves"")",109.5,4.4,0.4,0.0,805.5,17.2,4.3,4.7,2.8,,,"c(""Saute onions until soft, add carrots, water, tomato sauce, salt,& ginger and simmer for 10 min, covered."", ""Add potatoes& spices and cook for another 10 min."", ""Add cabbage and cook until tender."")"
17,240746,Greek Vegetable Bake,PT1H10M,PT15M,PT1H25M,Make and share this Greek Vegetable Bake recipe from Food.com.,Vegetable,"c(""Greek"", ""European"", ""Vegan"", ""< 4 Hours"")","c(""1"", ""1"", ""3"", ""1"", ""1"", ""1"", ""1"", ""2"", ""1"", ""1/2"", ""1/2"", ""1/2"", ""1/2"")","c(""fresh green beans"", ""zucchini"", ""carrots"", ""potato"", ""onion"", ""celery rib"", ""tomato sauce"", ""fresh parsley"", ""dried oregano"", ""seasoning salt"", ""lemon-pepper seasoning"", ""pepper"")",114.2,0.7,0.2,0.0,238.2,25.4,6.1,8.6,4.7,6.0,,"c(""Preheat oven to 350 degrees."", ""In a 2-quart baking dish coated with cooking spray, layer half the beans, zucchini, carrots, potato, onion and celery."", ""Top with half of tomato sauce."", ""Combine seasonings and sprinkle half over tomato sauce."", ""Repeat layers."", ""Cover and bake 70-80 minutes, until vegetables are tender."")"
18,328193,Couscous &amp; Shrimp With Newman's Lighten up Italian Dressing,PT25M,PT30M,PT55M,"In no time you have a lovely salad made - one that can be the entree served with corn on the cob, &amp; sliced tomatoes with red onion. A loaf of warm bread and a lovely rose - sounds like a nice meal to me! This is my take on this recipe which is wonderful! Newman''s Own web site is where I found this recipe. The residents were a little taken aback by the coucous but then they started tasting and enjoying!",Vegetable,"c(""Savory"", ""Brunch"", ""< 60 Mins"", ""Stove Top"", ""Easy"")","c(""2"", ""1"", ""14"", ""2"", ""2"", ""1"", ""3 -4"", ""1"", ""1"", ""1"", ""1/2 - 1"", NA, NA)","c(""israeli couscous"", ""large shrimp"", ""artichoke hearts"", ""asparagus spears"", ""celery"", ""flat leaf parsley"", ""scallions"", ""lemon, zest of"", ""cashew pieces"", ""crushed red pepper flakes"")",733.6,19.9,3.0,173.4,1003.3,96.8,14.0,7.1,43.9,4.0,,"c(""Boil 5 cups water in medium saucepan with lid."", ""When water boils, add couscous and return to boil."", ""As soon as water returns to a boil, remove from heat and cover pan with lid."", ""Let couscous stand for minutes."", ""Rinse and drain."", ""Meanwhile, in large bowl, combine all other ingredients except for the toasted cashew pieces"", ""Add couscous to bowl when cool, and combine."", ""Sprinkle with cashew pieces."", ""Salt, pepper, & crushed red pepper flakes (if using), to taste."")"
19,486257,Jamaican Stamp and Go (Codfish Fritters),PT25M,PT30M,PT55M,"This is from the Betty Crocker International Cookbook, with a few changes we made to suit our taste buds.  The introduction explains that these are named for the fact that, before electricity was commonplace, fritters were purchased at take-out stands, wrapped in paper and stamped 'paid'.  The locals then took their fritters home or to the beach for eating.",Vegetable,"c(""Caribbean"", ""< 60 Mins"")","c(""8"", ""2"", ""2"", NA, ""1"", ""3/4"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"")","c(""cod fish fillets"", ""onions"", ""olive oil"", ""all-purpose flour"", ""milk"", ""egg"", ""baking powder"", ""salt"", ""scotch bonnet pepper"", ""garlic clove"")",201.3,7.7,1.8,51.6,497.6,21.3,1.2,1.7,11.4,6.0,36 fritters,"c(""Heat fish and just enough water to cover to boiling.  Reduce heat, cover, and simmer until fish flakes easily with fork, about 5 to 7 mimutes; drain.  Cool and flake."", ""Cook and stir onions in 2 tablespoons oil until tender."", ""Heat vegetable oil (about 1 1/2 inches high) in a small stock pot to about 360°F."", ""Beat together the flour, milk, egg, baking powder, salt, 1 teaspoon oil, minced pepper, and garlic with hand beater until smooth.  Stir in flaked fish and cooked onions."", ""Drop by level tablespoons into hot oil.  Fry for about 5 to 6 at a time until golden brown, turning once, about 4 minutes.  Drain on paper towels."", 
""Serve withy tartar sauce and lemon wedges, if desired."")"
20,61134,Mapplesauce Pancakes,PT5M,PT5M,PT10M,Make and share this Mapplesauce Pancakes recipe from Food.com.,Breakfast,"c(""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""< 15 Mins"", ""Beginner Cook"", ""Easy"")","c(""1"", ""1"")","c(""maple syrup"", ""applesauce"")",517.1,0.6,0.1,0.0,50.2,133.4,1.5,95.8,0.2,,2 cups of syrup,"c(""In a medium pan heat syrup and applesauce, mixing well."", ""Serve warm on warm pancakes."", ""Enjoy."")"
21,242853,Oeufs Au Beurre Noir - Eggs With Black Butter,PT5M,PT5M,PT10M,"An elegant way with eggs from the Creole chapter of the United States Regional Cookbook, Culinary Arts Institute of Chicago, 1947.",Breakfast,"c(""Very Low Carbs"", ""Savory"", ""Brunch"", ""< 15 Mins"", ""Easy"")","c(""2"", ""1"", ""1"", ""1"")","c(""eggs"", ""wine vinegar"", ""butter"", ""parsley"")",249.3,21.5,10.4,453.5,222.5,0.9,0.0,0.8,12.7,1.0,,"c(""Poach the eggs in water to which a little vinegar has been added."", ""Remove while still soft and place in a dish in warm oven."", ""Boil the wine vinegar until it is 1/2 of its original quantity; pour over eggs."", ""Simmer butter a few minutes in the pan; add parsley and salt and cook until both butter and parsley are browned."", ""Pour over eggs and serve at once."")"
22,178965,Green Eggs and Ham With Ital-Tots and Garlic Cheesy Toast,PT16M,PT45M,PT1H1M,Make and share this Green Eggs and Ham With Ital-Tots and Garlic Cheesy Toast recipe from Food.com.,Breakfast,"c(""Brunch"", ""< 4 Hours"")","c(""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1/2"", ""1/2"", ""2"", ""1"", NA, NA, ""2"", ""1/4"", ""1"", ""1"", ""1/2"", ""8"", NA, NA, NA, ""4"", ""1"", NA, NA)","c(""salt"", ""dried thyme"", ""dried oregano"", ""dried rosemary"", ""hot red pepper flakes"", ""arugula"", ""fresh basil leaf"", ""pine nuts"", ""garlic clove"", ""salt"", ""fresh ground black pepper"", ""parmigiano-reggiano cheese"", ""extra virgin olive oil"", ""extra virgin olive oil"", ""butter"", ""ham"", ""eggs"", ""half-and-half"", ""milk"", ""salt"", ""fresh ground black pepper"", ""garlic clove"", ""butter"", ""parmigiano-reggiano cheese"")",1157.6,78.8,22.7,472.1,2690.2,83.8,7.1,1.2,31.8,4.0,,"c(""Make the Ital-tots: preheat the oven to 425°; open tots bag and pour four portions onto a nonstick cookie sheet."", ""Sprinkle the tots with salt and dried seasonings; toss them around a bit to get the herbs to stick to the tots."", ""Bake the tots about 12 minutes or until crisp; remove from oven and turn the broiler on."", ""Make the green sauce: add the sauce ingredients to a food processor; process until sauce forms; set aside and reserve."", ""Prepare the eggs and ham: heat a nonstick skillet over med-high heat; add in olive oil and butter, let the butter melt."", 
""Add in the ham and cook 3 minutes or until lightly browned at edges."", ""Beat eggs and half-and-half with salt and pepper; add eggs to skillet and scamble up with the ham to desired doneness; remove from heat."", ""Make the toast:"", ""Toast bread under hot broiler 30 seconds on each side; rub with cracked garlic then spread with butter and top with a sprinkle of cheese."", ""Stir green sauce into ham and eggs; serve with Ital-tots and Garlic Cheesy Toast on the side."")"
23,35456,Pumpkin Pie Waffles,PT5M,PT15M,PT20M,Make and share this Pumpkin Pie Waffles recipe from Food.com.,Breakfast,"c(""Grains"", ""Vegetable"", ""Low Cholesterol"", ""Winter"", ""Christmas"", ""Thanksgiving"", ""< 30 Mins"", ""Inexpensive"")","c(""1"", ""1/2"", ""1/3"", ""3"", ""1"", ""1/4"", ""1/4"", ""1/8"", ""1"", ""1/4"", ""1 1/3"", ""3/4"", ""1/3"", ""3"", ""3"")","c(""flour"", ""whole wheat flour"", ""brown sugar"", ""baking powder"", ""cinnamon"", ""ginger"", ""nutmeg"", ""clove"", ""salt"", ""milk"", ""pumpkin puree"", ""honey"")",168.4,7.5,1.5,3.8,167.9,23.1,1.3,7.9,4.1,,12 4inch waffles,"c(""Preheat waffle iron."", ""In a mixing bowl, combine flours, oat bran, brown sugar, baking powder, spices, and salt."", ""Separately, mix together milk, pumpkin, oil, and honey until smooth."", ""Add pumpkin mixture to dry ingredients, mixing well."", ""In another bowl, beat egg whites until stiff but not dry; gently fold into batter."", ""Pour 1 1/4 cups batter onto greased waffle iron and cook until waffle is golden and cooked through."")"
